	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	21	22	23
Carneyella pilea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
Foerstediscus grandis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
Isorophus cincinnatiensis	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
Isorophusella spp.	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	N	N	N	0	0	0	0	0	N
Neoisorophysella lanei	0	N	1	0	1	1	0	?	0	0	0	0	0	0	0	1	N	N	N	0	0	0	0	0	N
Agelacrinites hamiltonensis	1	N	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	N
Stalticodiscus milleri	1	N	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	N
Postibulla legrandensis	1	N	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	N
Ulrichidiscus pulaskiensis	1	N	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0
Lepidodiscus squamosus	1	N	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	N
Lepidodiscus laudoni	1	N	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1
Chester Lepidodiscus laudoni	1	N	0	0	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1
Discocystis kaskaskiensis	1	N	0	0	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1
Cooperidiscus	?	?	1	?	?	?	?	?	?	1	1	?	1	?	0	0	1	0	0	1	?	?	?	?	?
Lispidecodus	1	N	0	?	1	1	1	1	1	0	2	?	1	1	1	?	?	?	?	?	1	0	1	0	1
