Week,Date,Overall topic,,Videos,Exercise
1,14-Jan,Getting ready,"R, github, gitter, unit testing",,
2,21-Jan,Gathering data,"Sequences, trees, name resolution, alignment",,GettingTrees
3,28-Jan,Building trees; Likelihood; Bayes; Parsimony,,,
4,4-Feb,Building trees; Gene tree species tree; Network,,,
5,11-Feb,Building trees; Dating,,,
6,18-Feb,Correlating characters,"independent contrasts, Pagel 1994, Hansen OU",,
7,25-Feb,Continuous character models,"surface, OUwie, geiger",,
8,3-Mar,Discrete character models,,,
9,10-Mar,Diversification models,,,
10,24-Mar,SSE models,,,
11,31-Mar,Simulating data,,,
12,7-Apr,Building a new comparative method,,,
13,14-Apr,Testing a new comparative method,,,
14,21-Apr,Student choice,,,
15,28-Apr,Student choice,,,
