Year,Phylogen,Ecology,Evolution,Phylogen&Ecology,Ecology&Evolution,Phylogen&Evolution,Phylogen&Ecology&Evolution
2000,5003,3501,27548,133,348,1874,53
2001,5520,3746,29336,153,363,2053,62
2002,5892,3881,30042,183,423,2145,88
2003,6536,4263,33095,205,457,2348,79
2004,7807,4635,36402,239,500,2746,98
2005,8015,5073,38793,267,577,2820,113
2006,8869,5717,42001,291,634,3115,132
2007,10017,6500,46689,368,734,3582,162
2008,10744,7160,49682,453,846,3807,194
2009,11553,7815,54273,464,973,4009,194
2010,12447,8654,56153,559,1072,4272,242
2011,13390,9296,58754,648,1155,4286,247
2012,14167,9910,63073,734,1258,4565,287
2013,15248,10295,66307,793,1335,4862,334
2014,16002,10624,71132,831,1446,5053,346
2015,16830,12122,77956,921,1613,5232,350
2016,18661,12820,83129,947,1677,5533,381
